C05001140196|AD3Y07-YAD RAM DHARAM PAL|I|27,JUNGPURA ROAD,|JUNGPURA ROAD|110014|-24372567|||IND|DL|DELHI|DELHI|CONVENIENCE|RETL||DELHI COBO||MT|Y
C05001140198|AD3A01-ASHRAFI STORE|I||||-|||IND|DL|DELHI|DELHI|OTHERS|RETL||DELHI COBO||MT|Y
C05001140200|AD4C02-CITY STORE|I|84,CHURCH ROAD BHOGAL|CHURCH ROAD|110014|-24376239|||IND|DL|DELHI|DELHI|GROCERY|RETL||DELHI COBO||MT|Y
C05001140202|AD6R01-R. K. STORE|I|626, SUNLIGHT I|SUNLIGHT COLONYI|110014|-26345028|||IND|DL|DELHI|DELHI|GROCERY|RETL||DELHI COBO||MT|Y
C05001140203|AD2G04-GUPTA TEA STALL|I|180, DEF COL FLYOVER|PISORI MOHALA|110014|-24321534|||IND|DL|DELHI|DELHI|CONVENIENCE|RETL||DELHI COBO||MT|Y
C05001140204|AD2S05-SIRKO STORE|I|291 , DEFENCE COLONY FLYO||110014|-24317747|||IND|DL|DELHI|DELHI|EATING AND DRINKING|RETL||DELHI COBO||MT|Y
C05001140205|AD1A10-AZAD STORES|I|D-325, DILDAR NAGAR, BASTI HAZ||110013|-69448137|||IND|DL|DELHI|DELHI|GROCERY|RETL||DELHI COBO||MT|Y
C05001140206|AD1U01-UMMAR GEN. STORES|I|455, DILDAR NAGAR, HAZRAT||110013|-24355492|||IND|DL|DELHI|DELHI|GROCERY|RETL||DELHI COBO||MT|Y
C05001140209|AD8P04-PRAKASH GEN STORE|I|SH.NO.9 NIZM EAST|NIZAMUDDIN EAST|110013|-24352943|||IND|DL|DELHI|DELHI|GROCERY|RETL||DELHI COBO||MT|Y
C05001140210|AD8R02-ROHINI GEN STORE|I|SH.NO.16 NIZ.EAST|NIZAMUDDIN EAST|110013|-24359695|||IND|DL|DELHI|DELHI|GROCERY|RETL||DELHI COBO||MT|Y
C05001140212|AD8S04-SRI GANESH STORE|I|B -87 JANPURA B|JANGPURA-B|110014|-24374953|||IND|DL|DELHI|DELHI|GROCERY|RETL||DELHI COBO||MT|Y
C05001140213|AD8V01-VEENUKA RESTAUTRANT|I|SH.NO.10.NIZ.EAST|NIZAMUDDIN EAST|110013|-41825214|||IND|DL|DELHI|DELHI|EATING AND DRINKING|RETL||DELHI COBO||MT|Y
C05001140214|AD8A03-ARORA STORE|I|SHOP NO .11 NIZAMUDDDIN E|NIZAMUDDIN EAST|110013|-24352589|||IND|DL|DELHI|DELHI|GROCERY|RETL||DELHI COBO||MT|Y
C05001140215|AD8A05-ANEJA RESPURENT|I||||-|||IND|DL|DELHI|DELHI|GROCERY|RETL||DELHI COBO||MT|Y
C05001140216|AD8J03-JANAK RAJ CANTEEN|I|NIZAMUDDIN EAST|NIZAMUDDIN EAST||-|||IND|DL|DELHI|DELHI|EATING AND DRINKING|RETL||DELHI COBO||MT|Y
C05001140217|AD1A03-ADNAN STORE|I|T-204, GHALIB ROAD, BASTI|NIZAMUDDIN BASTI|110013|-24351970|||IND|DL|DELHI|DELHI|GROCERY|RETL||DELHI COBO||MT|Y
C05001140218|AD2H01-HAPPY STORE|I|35 , GURU NANAK MKT. ; HO|HOSPITAL ROAD|110014|-9899607368--|||IND|DL|DELHI|DELHI|CONVENIENCE|RETL||DELHI COBO||MT|Y
C05001140219|AD7B01-BANSAL PAN|I|H. NO. 109 ASHRAM.HR.NGR|ASHRAM|110014|-26351511|||IND|DL|DELHI|DELHI|CONVENIENCE|RETL||DELHI COBO||MT|Y
C05001140220|AD7G01-GAGAN DAIRY|I|179, HARI NAGAR|ASHRAM|110014|0|||IND|DL|DELHI|DELHI|GROCERY|RETL||DELHI COBO||MT|Y
C05001140221|AD7K01-KHANNA STORE|I|SHOP NO.6 NEAR NAFED BUIL|ASHRAM|110014|-26341513|||IND|DL|DELHI|DELHI|CONVENIENCE|RETL||DELHI COBO||MT|Y
C05001140222|AD7L01-L.K. PAN SHOP|I|187, HARI NAGAR|ASHRAM|110014|-26344755|||IND|DL|DELHI|DELHI|CONVENIENCE|RETL||DELHI COBO||MT|Y
C05001140223|AD7M05-MANOJ JANTA STORE|I|86-A,HARI NAGAR ASHRAM|ASHRAM|110014|-26341006|||IND|DL|DELHI|DELHI|CONVENIENCE|RETL||DELHI COBO||MT|Y
C05001140225|AD7N01-N.K. STORE|I|180,HARI NAGAR ASHRAM|ASHRAM|110014|0|||IND|DL|DELHI|DELHI|GROCERY|RETL||DELHI COBO||MT|Y
C05001140226|AD7R01-RAJU STORE|I|202, HARI NAGAR ASHRAM|ASHRAM|110014|-9891386453|||IND|DL|DELHI|DELHI|GROCERY|RETL||DELHI COBO||MT|Y
C05001140227|AD7R03-RAJEEV STORE|I|81, ASHRAM, SUBZI MARKET||110014|-|||IND|DL|DELHI|DELHI|GROCERY|RETL||DELHI COBO||MT|Y
C05001140228|AD7S01-SAINI PROV. STORE|I|22,SAINI CHOWPAL HARI NAGAR AS|ASHRAM|110014|-26348766|||IND|DL|DELHI|DELHI|GROCERY|RETL||DELHI COBO||MT|Y
